timestamp,phase,node,ready,healthz_ok,compute_ok,metrics_ok,healthz_ms,compute_ms,health_failure_streak,compute_failure_streak,sample_reason,anomaly_reason,is_transient_anomaly,state,downtime_reason
2026-07-07T18:49:07+00:00,unknown,icclz1,1,1,1,1,46.521,14.775,0,0,,,0,UP,
2026-07-07T18:49:12+00:00,BASELINE,icclz1,1,1,1,1,204.743,93.899,0,0,,,0,UP,
2026-07-07T18:49:17+00:00,BASELINE,icclz1,1,1,1,1,43.605,30.982,0,0,,,0,UP,
2026-07-07T18:49:23+00:00,BASELINE,icclz1,1,1,1,1,39.170,12.641,0,0,,,0,UP,
2026-07-07T18:49:28+00:00,BASELINE,icclz1,1,1,1,1,151.402,19.298,0,0,,,0,UP,
2026-07-07T18:49:33+00:00,BASELINE,icclz1,1,1,1,1,23.087,56.499,0,0,,,0,UP,
2026-07-07T18:49:39+00:00,BASELINE,icclz1,1,1,1,1,18.858,16.575,0,0,,,0,UP,
2026-07-07T18:49:44+00:00,BASELINE,icclz1,1,1,1,1,81.476,8.840,0,0,,,0,UP,
2026-07-07T18:49:50+00:00,BASELINE,icclz1,1,1,1,1,35.653,12.984,0,0,,,0,UP,
2026-07-07T18:49:55+00:00,BASELINE,icclz1,1,1,1,1,28.476,12.678,0,0,,,0,UP,
2026-07-07T18:50:00+00:00,BASELINE,icclz1,1,1,1,1,53.615,20.442,0,0,,,0,UP,
2026-07-07T18:50:05+00:00,BASELINE,icclz1,1,1,1,1,15.324,11.465,0,0,,,0,UP,
2026-07-07T18:50:11+00:00,BASELINE,icclz1,1,1,1,1,8.870,12.150,0,0,,,0,UP,
2026-07-07T18:50:16+00:00,BASELINE,icclz1,1,1,1,1,46.987,29.935,0,0,,,0,UP,
2026-07-07T18:50:21+00:00,BASELINE,icclz1,1,1,1,1,16.266,11.929,0,0,,,0,UP,
2026-07-07T18:50:26+00:00,BASELINE,icclz1,1,1,1,1,130.688,11.955,0,0,,,0,UP,
2026-07-07T18:50:32+00:00,BASELINE,icclz1,1,1,1,1,42.651,26.814,0,0,,,0,UP,
2026-07-07T18:50:37+00:00,BASELINE,icclz1,1,1,1,1,48.992,8.406,0,0,,,0,UP,
2026-07-07T18:50:43+00:00,BASELINE,icclz1,1,1,1,1,339.575,14.520,0,0,,,0,UP,
2026-07-07T18:50:48+00:00,BASELINE,icclz1,1,1,1,1,20.672,48.284,0,0,,,0,UP,
2026-07-07T18:50:54+00:00,BASELINE,icclz1,1,1,1,1,47.274,15.597,0,0,,,0,UP,
2026-07-07T18:50:59+00:00,BASELINE,icclz1,1,1,1,1,112.217,13.582,0,0,,,0,UP,
2026-07-07T18:51:04+00:00,BASELINE,icclz1,1,1,1,1,95.932,13.836,0,0,,,0,UP,
2026-07-07T18:51:10+00:00,BASELINE,icclz1,1,1,1,1,28.756,11.113,0,0,,,0,UP,
2026-07-07T18:51:15+00:00,BASELINE,icclz1,1,1,1,1,16.300,63.251,0,0,,,0,UP,
2026-07-07T18:51:20+00:00,BASELINE,icclz1,1,1,1,1,41.189,14.407,0,0,,,0,UP,
2026-07-07T18:51:25+00:00,BASELINE,icclz1,1,1,1,1,35.637,11.858,0,0,,,0,UP,
2026-07-07T18:51:31+00:00,BASELINE,icclz1,1,1,1,1,32.554,10.100,0,0,,,0,UP,
2026-07-07T18:51:36+00:00,BASELINE,icclz1,1,1,1,1,36.595,25.418,0,0,,,0,UP,
2026-07-07T18:51:41+00:00,BASELINE,icclz1,1,1,1,1,154.706,24.521,0,0,,,0,UP,
2026-07-07T18:51:47+00:00,BASELINE,icclz1,1,1,1,1,10.651,11.744,0,0,,,0,UP,
2026-07-07T18:51:52+00:00,BASELINE,icclz1,1,1,1,1,74.245,10.012,0,0,,,0,UP,
