timestamp,phase,node,ready,healthz_ok,compute_ok,metrics_ok,healthz_ms,compute_ms,state,downtime_reason
2026-07-07T07:32:48+00:00,BASELINE,icclz1,1,1,1,1,31.861,209.637,UP,
2026-07-07T07:32:53+00:00,BASELINE,icclz1,1,1,1,1,1106.480,172.596,UP,
2026-07-07T07:33:00+00:00,BASELINE,icclz1,1,1,1,1,107.032,309.471,UP,
2026-07-07T07:33:05+00:00,BASELINE,icclz1,1,1,1,1,14.259,83.549,UP,
2026-07-07T07:33:11+00:00,BASELINE,icclz1,1,1,1,1,38.410,314.167,UP,
2026-07-07T07:33:17+00:00,BASELINE,icclz1,1,1,1,1,41.438,421.927,UP,
2026-07-07T07:33:22+00:00,BASELINE,icclz1,1,1,1,1,27.285,298.966,UP,
2026-07-07T07:33:28+00:00,BASELINE,icclz1,1,1,1,1,26.028,170.915,UP,
2026-07-07T07:33:34+00:00,BASELINE,icclz1,1,1,1,1,198.970,171.940,UP,
2026-07-07T07:33:39+00:00,BASELINE,icclz1,1,1,1,1,14.660,98.146,UP,
2026-07-07T07:33:44+00:00,BASELINE,icclz1,1,1,1,1,60.939,311.396,UP,
2026-07-07T07:33:50+00:00,BASELINE,icclz1,1,1,1,1,8.128,186.705,UP,
2026-07-07T07:33:56+00:00,BASELINE,icclz1,1,1,1,1,136.890,303.114,UP,
2026-07-07T07:34:01+00:00,BASELINE,icclz1,1,1,1,1,43.850,192.307,UP,
2026-07-07T07:34:07+00:00,BASELINE,icclz1,1,1,1,1,38.444,268.223,UP,
2026-07-07T07:34:12+00:00,BASELINE,icclz1,1,1,1,1,147.521,219.359,UP,
2026-07-07T07:34:18+00:00,BASELINE,icclz1,1,1,1,1,18.748,225.542,UP,
2026-07-07T07:34:23+00:00,BASELINE,icclz1,1,1,1,1,211.427,142.531,UP,
2026-07-07T07:34:29+00:00,BASELINE,icclz1,1,1,1,1,59.967,207.999,UP,
2026-07-07T07:34:34+00:00,BASELINE,icclz1,1,1,1,1,27.082,295.066,UP,
2026-07-07T07:34:40+00:00,BASELINE,icclz1,1,1,1,1,28.302,91.200,UP,
2026-07-07T07:34:45+00:00,BASELINE,icclz1,1,1,1,1,47.322,261.203,UP,
2026-07-07T07:34:51+00:00,BASELINE,icclz1,1,1,1,1,86.279,210.125,UP,
2026-07-07T07:34:56+00:00,BASELINE,icclz1,1,1,1,1,12.203,299.217,UP,
2026-07-07T07:35:02+00:00,BASELINE,icclz1,1,1,1,1,9.097,162.514,UP,
2026-07-07T07:35:08+00:00,BASELINE,icclz1,1,1,1,1,24.057,95.553,UP,
2026-07-07T07:35:13+00:00,BASELINE,icclz1,1,1,1,1,23.179,405.906,UP,
2026-07-07T07:35:19+00:00,BASELINE,icclz1,1,1,1,1,103.622,112.255,UP,
2026-07-07T07:35:24+00:00,BASELINE,icclz1,1,1,1,1,25.305,272.105,UP,
2026-07-07T07:35:30+00:00,BASELINE,icclz1,1,1,1,1,721.807,102.270,UP,
2026-07-07T07:35:36+00:00,BASELINE,icclz1,1,1,1,1,26.397,367.333,UP,
2026-07-07T07:35:41+00:00,BASELINE,icclz1,1,1,1,1,13.955,212.258,UP,
2026-07-07T07:35:47+00:00,BASELINE,icclz1,1,1,1,1,34.028,115.918,UP,
2026-07-07T07:35:52+00:00,BASELINE,icclz1,1,1,1,1,9.924,183.247,UP,
2026-07-07T07:35:58+00:00,BASELINE,icclz1,1,1,1,1,30.891,360.831,UP,
2026-07-07T07:36:03+00:00,BASELINE,icclz1,1,1,1,1,13.545,114.963,UP,
2026-07-07T07:36:09+00:00,BASELINE,icclz1,1,1,1,1,15.700,471.205,UP,
2026-07-07T07:36:15+00:00,BASELINE,icclz1,1,1,1,1,82.245,144.003,UP,
2026-07-07T07:36:20+00:00,BASELINE,icclz1,1,1,1,1,10.899,1269.001,DEGRADED,
2026-07-07T07:36:26+00:00,BASELINE,icclz1,1,1,1,1,111.483,311.958,UP,
2026-07-07T07:36:32+00:00,BASELINE,icclz1,1,1,1,1,8.277,163.364,UP,
2026-07-07T07:36:38+00:00,BASELINE,icclz1,1,1,1,1,8.844,97.622,UP,
2026-07-07T07:36:43+00:00,BASELINE,icclz1,1,1,1,1,64.872,231.507,UP,
2026-07-07T07:36:48+00:00,BASELINE,icclz1,1,1,1,1,10.643,202.496,UP,
2026-07-07T07:36:54+00:00,BASELINE,icclz1,1,1,1,1,9.580,197.797,UP,
2026-07-07T07:36:59+00:00,BASELINE,icclz1,1,1,1,1,11.159,253.459,UP,
2026-07-07T07:37:05+00:00,BASELINE,icclz1,1,1,1,1,20.826,207.544,UP,
2026-07-07T07:37:10+00:00,BASELINE,icclz1,1,1,1,1,12.558,284.703,UP,
2026-07-07T07:37:16+00:00,BASELINE,icclz1,1,1,1,1,19.720,58.408,UP,
2026-07-07T07:37:21+00:00,BASELINE,icclz1,1,1,1,1,10.653,105.563,UP,
2026-07-07T07:37:27+00:00,BASELINE,icclz1,1,1,1,1,41.642,438.960,UP,
2026-07-07T07:37:32+00:00,BASELINE,icclz1,1,1,1,1,119.236,505.063,UP,
2026-07-07T07:37:38+00:00,BASELINE,icclz1,1,1,1,1,35.417,39.504,UP,
2026-07-07T07:37:43+00:00,BASELINE,icclz1,1,1,1,1,142.654,340.830,UP,
2026-07-07T07:37:49+00:00,BASELINE,icclz1,1,1,1,1,9.640,50.621,UP,
2026-07-07T07:37:54+00:00,BASELINE,icclz1,1,1,1,1,31.305,107.571,UP,
2026-07-07T07:38:00+00:00,BASELINE,icclz1,1,1,1,1,35.971,98.247,UP,
2026-07-07T07:38:05+00:00,BASELINE,icclz1,1,1,1,1,20.914,202.459,UP,
2026-07-07T07:38:10+00:00,BASELINE,icclz1,1,1,1,1,32.652,298.844,UP,
2026-07-07T07:38:16+00:00,BASELINE,icclz1,1,1,1,1,18.502,183.327,UP,
2026-07-07T07:38:21+00:00,BASELINE,icclz1,1,1,1,1,16.802,434.206,UP,
2026-07-07T07:38:27+00:00,BASELINE,icclz1,1,1,1,1,132.838,90.887,UP,
2026-07-07T07:38:32+00:00,BASELINE,icclz1,1,1,1,1,8.226,257.281,UP,
2026-07-07T07:38:38+00:00,BASELINE,icclz1,1,1,1,1,17.175,94.591,UP,
2026-07-07T07:38:43+00:00,BASELINE,icclz1,1,1,1,1,32.418,35.307,UP,
2026-07-07T07:38:49+00:00,BASELINE,icclz1,1,1,1,1,51.469,178.673,UP,
2026-07-07T07:38:54+00:00,BASELINE,icclz1,1,1,1,1,9.783,224.425,UP,
2026-07-07T07:38:59+00:00,BASELINE,icclz1,1,1,1,1,35.481,203.443,UP,
2026-07-07T07:39:05+00:00,BASELINE,icclz1,1,1,1,1,8.123,127.657,UP,
2026-07-07T07:39:10+00:00,BASELINE,icclz1,1,1,1,1,9.441,150.489,UP,
2026-07-07T07:39:16+00:00,BASELINE,icclz1,1,1,1,1,8.783,516.356,UP,
2026-07-07T07:39:21+00:00,BASELINE,icclz1,1,1,1,1,12.016,410.245,UP,
2026-07-07T07:39:27+00:00,BASELINE,icclz1,1,1,1,1,71.324,176.492,UP,
2026-07-07T07:39:33+00:00,BASELINE,icclz1,1,1,1,1,7.120,54.415,UP,
2026-07-07T07:39:38+00:00,BASELINE,icclz1,1,1,1,1,7.792,513.173,UP,
2026-07-07T07:39:43+00:00,BASELINE,icclz1,1,1,1,1,70.652,68.601,UP,
2026-07-07T07:39:49+00:00,BASELINE,icclz1,1,1,1,1,20.907,373.674,UP,
2026-07-07T07:39:54+00:00,BASELINE,icclz1,1,1,1,1,20.693,82.148,UP,
2026-07-07T07:40:00+00:00,BASELINE,icclz1,1,1,1,1,22.366,71.039,UP,
2026-07-07T07:40:05+00:00,BASELINE,icclz1,1,1,1,1,7.983,163.761,UP,
2026-07-07T07:40:10+00:00,BASELINE,icclz1,1,1,1,1,23.022,112.543,UP,
2026-07-07T07:40:16+00:00,BASELINE,icclz1,1,1,1,1,28.484,281.065,UP,
2026-07-07T07:40:21+00:00,BASELINE,icclz1,1,1,1,1,14.125,107.285,UP,
2026-07-07T07:40:27+00:00,BASELINE,icclz1,1,1,1,1,41.963,212.575,UP,
2026-07-07T07:40:32+00:00,BASELINE,icclz1,1,1,1,1,11.747,194.059,UP,
2026-07-07T07:40:37+00:00,BASELINE,icclz1,1,1,1,1,12.816,60.211,UP,
2026-07-07T07:40:43+00:00,BASELINE,icclz1,1,1,1,1,101.523,204.198,UP,
2026-07-07T07:40:48+00:00,BASELINE,icclz1,1,1,1,1,8.782,89.168,UP,
2026-07-07T07:40:54+00:00,BASELINE,icclz1,1,1,1,1,6.673,107.867,UP,
2026-07-07T07:40:59+00:00,BASELINE,icclz1,1,1,1,1,52.535,226.044,UP,
2026-07-07T07:41:04+00:00,BASELINE,icclz1,1,1,1,1,10.356,82.144,UP,
2026-07-07T07:41:10+00:00,BASELINE,icclz1,1,1,1,1,39.600,64.904,UP,
2026-07-07T07:41:15+00:00,BASELINE,icclz1,1,1,1,1,8.091,41.900,UP,
2026-07-07T07:41:20+00:00,BASELINE,icclz1,1,1,1,1,10.739,114.216,UP,
2026-07-07T07:41:25+00:00,BASELINE,icclz1,1,1,1,1,9.232,211.679,UP,
2026-07-07T07:41:31+00:00,BASELINE,icclz1,1,1,1,1,16.810,412.735,UP,
2026-07-07T07:41:36+00:00,BASELINE,icclz1,1,1,1,1,10.641,247.493,UP,
2026-07-07T07:41:42+00:00,BASELINE,icclz1,1,1,1,1,234.358,263.006,UP,
2026-07-07T07:41:48+00:00,BASELINE,icclz1,1,1,1,1,25.340,211.288,UP,
2026-07-07T07:41:53+00:00,BASELINE,icclz1,1,1,1,1,100.562,374.465,UP,
2026-07-07T07:41:59+00:00,BASELINE,icclz1,1,1,1,1,13.703,379.910,UP,
2026-07-07T07:42:04+00:00,BASELINE,icclz1,1,1,1,1,33.027,364.725,UP,
2026-07-07T07:42:10+00:00,BASELINE,icclz1,1,1,1,1,70.143,181.166,UP,
2026-07-07T07:42:15+00:00,BASELINE,icclz1,1,1,1,1,9.423,361.223,UP,
2026-07-07T07:42:21+00:00,BASELINE,icclz1,1,1,1,1,17.191,42.271,UP,
2026-07-07T07:42:26+00:00,BASELINE,icclz1,1,1,1,1,10.915,415.366,UP,
2026-07-07T07:42:32+00:00,BASELINE,icclz1,1,1,1,1,9.791,251.647,UP,
2026-07-07T07:42:37+00:00,BASELINE,icclz1,1,1,1,1,7.971,311.139,UP,
2026-07-07T07:42:43+00:00,BASELINE,icclz1,1,1,1,1,11.145,387.812,UP,
2026-07-07T07:42:48+00:00,BASELINE,icclz1,1,1,1,1,10.996,357.792,UP,
2026-07-07T07:42:54+00:00,BASELINE,icclz1,1,1,1,1,18.968,65.172,UP,
2026-07-07T07:42:59+00:00,BASELINE,icclz1,1,1,1,1,57.712,396.576,UP,
2026-07-07T07:43:05+00:00,BASELINE,icclz1,1,1,1,1,9.608,332.521,UP,
2026-07-07T07:43:11+00:00,BASELINE,icclz1,1,1,1,1,11.932,283.195,UP,
2026-07-07T07:43:16+00:00,BASELINE,icclz1,1,1,1,1,9.861,221.819,UP,
2026-07-07T07:43:22+00:00,BASELINE,icclz1,1,1,1,1,38.940,200.154,UP,
2026-07-07T07:43:27+00:00,BASELINE,icclz1,1,1,1,1,144.351,283.417,UP,
2026-07-07T07:43:33+00:00,BASELINE,icclz1,1,1,1,1,14.702,116.648,UP,
2026-07-07T07:43:38+00:00,BASELINE,icclz1,1,1,1,1,22.893,123.559,UP,
2026-07-07T07:43:44+00:00,BASELINE,icclz1,1,1,1,1,56.539,273.782,UP,
2026-07-07T07:43:49+00:00,BASELINE,icclz1,1,1,1,1,37.981,67.001,UP,
2026-07-07T07:43:55+00:00,BASELINE,icclz1,1,1,1,1,15.429,103.691,UP,
2026-07-07T07:44:00+00:00,BASELINE,icclz1,1,1,1,1,45.197,101.577,UP,
2026-07-07T07:44:05+00:00,BASELINE,icclz1,1,1,1,1,10.252,335.580,UP,
2026-07-07T07:44:11+00:00,BASELINE,icclz1,1,1,1,1,14.092,417.062,UP,
2026-07-07T07:44:16+00:00,BASELINE,icclz1,1,1,1,1,15.008,243.198,UP,
2026-07-07T07:44:22+00:00,BASELINE,icclz1,1,1,1,1,22.239,327.698,UP,
2026-07-07T07:44:27+00:00,BASELINE,icclz1,1,1,1,1,119.383,35.962,UP,
2026-07-07T07:44:33+00:00,BASELINE,icclz1,1,1,1,1,49.024,180.965,UP,
2026-07-07T07:44:38+00:00,BASELINE,icclz1,1,1,1,1,24.025,303.163,UP,
2026-07-07T07:44:44+00:00,BASELINE,icclz1,1,1,1,1,55.488,401.921,UP,
2026-07-07T07:44:50+00:00,BASELINE,icclz1,1,1,1,1,9.444,36.146,UP,
2026-07-07T07:44:55+00:00,BASELINE,icclz1,1,1,1,1,10.562,394.984,UP,
2026-07-07T07:45:00+00:00,BASELINE,icclz1,1,1,1,1,33.406,207.310,UP,
2026-07-07T07:45:06+00:00,BASELINE,icclz1,1,1,1,1,35.702,275.063,UP,
2026-07-07T07:45:11+00:00,BASELINE,icclz1,1,1,1,1,140.219,471.592,UP,
2026-07-07T07:45:17+00:00,BASELINE,icclz1,1,1,1,1,9.088,179.185,UP,
2026-07-07T07:45:23+00:00,BASELINE,icclz1,1,1,1,1,16.599,268.000,UP,
2026-07-07T07:45:28+00:00,BASELINE,icclz1,1,1,1,1,68.185,160.165,UP,
2026-07-07T07:45:34+00:00,BASELINE,icclz1,1,1,1,1,22.054,398.420,UP,
2026-07-07T07:45:39+00:00,BASELINE,icclz1,1,1,1,1,14.481,103.490,UP,
2026-07-07T07:45:44+00:00,BASELINE,icclz1,1,1,1,1,123.891,277.851,UP,
2026-07-07T07:45:50+00:00,BASELINE,icclz1,1,1,1,1,18.778,90.242,UP,
2026-07-07T07:45:55+00:00,BASELINE,icclz1,1,1,1,1,6.517,213.624,UP,
2026-07-07T07:46:01+00:00,BASELINE,icclz1,1,1,1,1,9.740,369.107,UP,
2026-07-07T07:46:06+00:00,BASELINE,icclz1,1,1,1,1,12.640,215.056,UP,
2026-07-07T07:46:12+00:00,BASELINE,icclz1,1,1,1,1,14.273,202.688,UP,
2026-07-07T07:46:17+00:00,BASELINE,icclz1,1,1,1,1,63.690,100.509,UP,
2026-07-07T07:46:23+00:00,BASELINE,icclz1,1,1,1,1,6.015,106.983,UP,
2026-07-07T07:46:28+00:00,BASELINE,icclz1,1,1,1,1,37.366,203.616,UP,
