timestamp,label,url,http_code,curl_exit,connect_ms,starttransfer_ms,total_ms,error_class,error_text
2026-07-07T08:55:44Z,observer_compute,http://100.105.48.97:18080/compute-check,200,0,32.017,35.421,35.966,ok,     Caution: You are using the Snap version of curl.     Due to Snap's sandbox nature; this version has some limitations.     For example; it may not be able to access hidden folders in your home directory     or other restricted areas of the os.      Which means you may encounter errors when using snap curl to download and execute some script.     For those cases; you might want to use the native curl package.     For details; see: https://github.com/boukendesho/curl-snap/issues/1          To stop seeing this message; run the following command:     $ curl.snap-acked  
2026-07-07T08:55:49Z,observer_compute,http://100.105.48.97:18080/compute-check,200,0,9.921,15.160,15.719,ok,     Caution: You are using the Snap version of curl.     Due to Snap's sandbox nature; this version has some limitations.     For example; it may not be able to access hidden folders in your home directory     or other restricted areas of the os.      Which means you may encounter errors when using snap curl to download and execute some script.     For those cases; you might want to use the native curl package.     For details; see: https://github.com/boukendesho/curl-snap/issues/1          To stop seeing this message; run the following command:     $ curl.snap-acked  
2026-07-07T08:55:55Z,observer_compute,http://100.105.48.97:18080/compute-check,200,0,19.160,26.026,26.255,ok,     Caution: You are using the Snap version of curl.     Due to Snap's sandbox nature; this version has some limitations.     For example; it may not be able to access hidden folders in your home directory     or other restricted areas of the os.      Which means you may encounter errors when using snap curl to download and execute some script.     For those cases; you might want to use the native curl package.     For details; see: https://github.com/boukendesho/curl-snap/issues/1          To stop seeing this message; run the following command:     $ curl.snap-acked  
2026-07-07T08:56:00Z,observer_compute,http://100.105.48.97:18080/compute-check,200,0,8.223,17.855,18.057,ok,     Caution: You are using the Snap version of curl.     Due to Snap's sandbox nature; this version has some limitations.     For example; it may not be able to access hidden folders in your home directory     or other restricted areas of the os.      Which means you may encounter errors when using snap curl to download and execute some script.     For those cases; you might want to use the native curl package.     For details; see: https://github.com/boukendesho/curl-snap/issues/1          To stop seeing this message; run the following command:     $ curl.snap-acked  
2026-07-07T08:56:05Z,observer_compute,http://100.105.48.97:18080/compute-check,200,0,13.387,19.813,20.134,ok,     Caution: You are using the Snap version of curl.     Due to Snap's sandbox nature; this version has some limitations.     For example; it may not be able to access hidden folders in your home directory     or other restricted areas of the os.      Which means you may encounter errors when using snap curl to download and execute some script.     For those cases; you might want to use the native curl package.     For details; see: https://github.com/boukendesho/curl-snap/issues/1          To stop seeing this message; run the following command:     $ curl.snap-acked  
2026-07-07T08:56:10Z,observer_compute,http://100.105.48.97:18080/compute-check,200,0,22.024,45.284,45.384,ok,     Caution: You are using the Snap version of curl.     Due to Snap's sandbox nature; this version has some limitations.     For example; it may not be able to access hidden folders in your home directory     or other restricted areas of the os.      Which means you may encounter errors when using snap curl to download and execute some script.     For those cases; you might want to use the native curl package.     For details; see: https://github.com/boukendesho/curl-snap/issues/1          To stop seeing this message; run the following command:     $ curl.snap-acked  
2026-07-07T08:56:15Z,observer_compute,http://100.105.48.97:18080/compute-check,200,0,5.649,9.777,10.066,ok,     Caution: You are using the Snap version of curl.     Due to Snap's sandbox nature; this version has some limitations.     For example; it may not be able to access hidden folders in your home directory     or other restricted areas of the os.      Which means you may encounter errors when using snap curl to download and execute some script.     For those cases; you might want to use the native curl package.     For details; see: https://github.com/boukendesho/curl-snap/issues/1          To stop seeing this message; run the following command:     $ curl.snap-acked  
2026-07-07T08:56:20Z,observer_compute,http://100.105.48.97:18080/compute-check,200,0,10.140,15.101,15.174,ok,     Caution: You are using the Snap version of curl.     Due to Snap's sandbox nature; this version has some limitations.     For example; it may not be able to access hidden folders in your home directory     or other restricted areas of the os.      Which means you may encounter errors when using snap curl to download and execute some script.     For those cases; you might want to use the native curl package.     For details; see: https://github.com/boukendesho/curl-snap/issues/1          To stop seeing this message; run the following command:     $ curl.snap-acked  
2026-07-07T08:56:25Z,observer_compute,http://100.105.48.97:18080/compute-check,200,0,4.926,14.406,14.827,ok,     Caution: You are using the Snap version of curl.     Due to Snap's sandbox nature; this version has some limitations.     For example; it may not be able to access hidden folders in your home directory     or other restricted areas of the os.      Which means you may encounter errors when using snap curl to download and execute some script.     For those cases; you might want to use the native curl package.     For details; see: https://github.com/boukendesho/curl-snap/issues/1          To stop seeing this message; run the following command:     $ curl.snap-acked  
2026-07-07T08:56:31Z,observer_compute,http://100.105.48.97:18080/compute-check,0,0,0.000,0.000,0.000,ok,     Caution: You are using the Snap version of curl.     Due to Snap's sandbox nature; this version has some limitations.     For example; it may not be able to access hidden folders in your home directory     or other restricted areas of the os.      Which means you may encounter errors when using snap curl to download and execute some script.     For those cases; you might want to use the native curl package.     For details; see: https://github.com/boukendesho/curl-snap/issues/1          To stop seeing this message; run the following command:     $ curl.snap-acked  
