timestamp,phase,node,ready,healthz_ok,compute_ok,metrics_ok,healthz_ms,compute_ms,state,downtime_reason
2026-07-07T05:13:32+00:00,unknown,icclz1,1,1,1,1,82.539,221.044,UP,
2026-07-07T05:13:38+00:00,BASELINE,icclz1,1,1,1,1,11.615,208.836,UP,
2026-07-07T05:13:43+00:00,BASELINE,icclz1,1,1,1,1,800.248,415.363,UP,
2026-07-07T05:13:50+00:00,BASELINE,icclz1,1,1,1,1,89.900,153.134,UP,
2026-07-07T05:13:56+00:00,BASELINE,icclz1,1,1,1,1,27.891,167.192,UP,
2026-07-07T05:14:01+00:00,BASELINE,icclz1,1,1,1,1,20.464,102.224,UP,
2026-07-07T05:14:07+00:00,MIX-H,icclz1,1,1,1,1,105.106,204.822,UP,
2026-07-07T05:14:12+00:00,MIX-H,icclz1,1,1,1,1,12.598,122.443,UP,
2026-07-07T05:14:18+00:00,MIX-H,icclz1,1,1,1,1,20.810,66.214,UP,
2026-07-07T05:14:23+00:00,MIX-H,icclz1,1,1,1,1,70.618,54.051,UP,
2026-07-07T05:14:29+00:00,MIX-H,icclz1,1,1,1,1,256.571,173.941,UP,
2026-07-07T05:14:34+00:00,MIX-H,icclz1,1,1,1,1,109.142,89.250,UP,
2026-07-07T05:14:40+00:00,MIX-H,icclz1,1,1,1,1,255.144,162.555,UP,
2026-07-07T05:14:46+00:00,MIX-H,icclz1,1,1,1,1,49.161,91.372,UP,
2026-07-07T05:14:51+00:00,MIX-H,icclz1,1,1,1,1,185.911,1129.009,DEGRADED,
2026-07-07T05:14:58+00:00,MIX-H,icclz1,1,1,1,1,105.722,163.124,UP,
2026-07-07T05:15:04+00:00,MIX-H,icclz1,1,1,1,1,49.116,188.324,UP,
2026-07-07T05:15:10+00:00,RECOVERY-1,icclz1,1,1,1,1,14.271,57.659,UP,
2026-07-07T05:15:15+00:00,RECOVERY-1,icclz1,1,1,1,1,105.815,101.902,UP,
2026-07-07T05:15:21+00:00,RECOVERY-1,icclz1,1,1,1,1,13.443,42.398,UP,
2026-07-07T05:15:26+00:00,RECOVERY-1,icclz1,1,1,1,1,7.473,211.191,UP,
2026-07-07T05:15:33+00:00,RECOVERY-1,icclz1,1,1,1,1,8.892,82.262,UP,
2026-07-07T05:15:38+00:00,COMPLETE,icclz1,1,1,1,1,19.676,103.918,UP,
