metric,runs,median,min,max,std
after_120s_latency_p50_p50,3,187.29543600056786,185.51459700393025,202.3943555104779,9.274292472007911
after_120s_latency_p95_p50,3,204.90293164621104,195.82943860586965,209.98316638288085,7.170135643981088
latency_p50_first_to_last_delta_ms,3,0.19858501036657117,-4.460183001356171,1.3808332514599897,3.0881305336260776
latency_p95_first_to_last_delta_ms,3,2.637385422713095,0.663767458172515,2.9049340606433987,1.2240355307783175
gpu_temp_first_to_last_delta_c,3,0.0,0.0,0.0,0.0
sm_clock_first_to_last_delta_mhz,3,0.0,0.0,0.0,0.0
