run_id,replicate_id,measurement_rows,latency_p50_first_to_last_delta_ms,latency_p95_first_to_last_delta_ms,gpu_temp_first_to_last_delta_c,sm_clock_first_to_last_delta_mhz,after_120s_latency_p50_p50,after_120s_latency_p95_p50,after_120s_latency_p50_std,after_120s_latency_p95_std,after_120s_gpu_temp_p50,after_120s_sm_clock_p50
r07_long_normal_smoke_20260703_211041,r07_long,900,-4.460183001356171,0.663767458172515,0.0,0.0,187.29543600056786,204.90293164621104,3.1174835699356045,3.3025354694231233,59.0,1936.0
r08_long_normal_smoke_20260703_214750,r08_long,900,1.3808332514599897,2.9049340606433987,0.0,0.0,202.3943555104779,209.98316638288085,1.0152391975987607,4.408070500301723,59.0,1936.0
r09_long_normal_smoke_20260703_220649,r09_long,900,0.19858501036657117,2.637385422713095,0.0,0.0,185.51459700393025,195.82943860586965,0.9648443034964297,4.532193091271785,59.0,1936.0
