run_id,replicate_id,segment,start_elapsed_s,end_elapsed_s,rows,rolling_latency_p50_p50,rolling_latency_p50_p95,rolling_latency_p50_std,rolling_latency_mean_p50,rolling_latency_mean_p95,rolling_latency_mean_std,rolling_latency_p95_p50,rolling_latency_p95_p95,rolling_latency_p95_std,rolling_latency_p99_p50,rolling_latency_p99_p95,rolling_latency_p99_std,gpu_temp_c_p50,gpu_temp_c_p95,gpu_temp_c_std,sm_clock_mhz_p50,sm_clock_mhz_p95,sm_clock_mhz_std,gpu_power_w_p50,gpu_power_w_p95,gpu_power_w_std,gpu_util_pct_p50,gpu_util_pct_p95,gpu_util_pct_std,rolling_completion_count_p50,rolling_completion_count_p95,rolling_completion_count_std
r07_long_normal_smoke_20260703_211041,r07_long,first_third,180.0,480.0,300,190.3744510054821,195.55219350149852,2.731661763321619,190.84273479869202,194.04393560059057,1.799216219463509,205.85023530438775,207.49284380290192,2.7142006964881027,208.6538518333691,214.44120226311497,4.667534268040285,59.0,62.0,1.233474938389239,1936.0,1936.0,75.64501205223976,76.86500000000001,207.93550000000005,38.401364623478855,0.0,47.200000000000045,14.832049347557591,30.0,30.0,0.0
r07_long_normal_smoke_20260703_211041,r07_long,middle_third,480.0,780.0,300,187.795144986012,195.17086900305003,2.8064858155324033,188.98541308347677,194.4148139979613,2.2084230311307884,204.44721729145385,210.796107094211,2.8584188204469374,206.08440608368252,213.14277394354576,2.796680095997599,59.0,62.0,1.0936677983125291,1936.0,1936.0,58.18121691946341,76.96,197.07,36.76263857444684,0.0,41.10000000000002,14.073799752194962,30.0,30.0,0.0
r07_long_normal_smoke_20260703_211041,r07_long,last_third,780.0,1080.0,300,185.91426800412592,191.7942490108544,2.169866061009945,187.76891646703007,192.0119861664716,1.9182577517734714,206.51400276256027,210.11040690355003,4.003114311609883,208.46782541018908,214.4600967963925,4.89007514392185,59.0,61.0,0.9532202067422858,1936.0,1936.0,72.64231025847022,76.96,209.34300000000002,39.16944755227886,0.0,48.0,14.306828440374078,30.0,30.0,0.0
r07_long_normal_smoke_20260703_211041,r07_long,first_120s,180.0,300.0,120,190.51783599570626,192.53701050183736,2.2071932290365046,190.00682613404933,191.29952149625754,0.981047406259891,205.40735927643254,207.24734369578076,2.836882845373017,207.58962843494373,208.6538518333691,2.9225204398910134,58.0,60.0,0.9513369628090368,1936.0,1936.0,88.42572568876906,76.63,222.838,51.75148915156706,0.0,13.299999999999983,9.131435990538385,30.0,30.0,0.0
r07_long_normal_smoke_20260703_211041,r07_long,after_120s,300.0,1080.0,780,187.29543600056786,195.15700699412264,3.1174835699356045,189.11419914996563,193.75885879756729,2.3791489578117226,204.90293164621104,210.796107094211,3.3025354694231233,207.9038930646493,214.4600967963925,4.393279325053061,59.0,62.0,1.053094924519492,1936.0,1936.0,65.68367165460695,76.96,203.19099999999997,35.21761102401188,0.0,48.09999999999991,14.988727702234337,30.0,30.0,0.0
r08_long_normal_smoke_20260703_214750,r08_long,first_third,180.0,480.0,300,201.818411500426,203.3428315044148,1.0859007251170902,200.52634776657214,202.97015419831345,1.7346040412757389,205.9884632501053,217.749444860965,5.082639886364836,211.20508700725625,219.3733610585332,5.30381132896881,59.0,62.0,1.104742992352851,1936.0,1936.0,55.97387350407481,76.96,204.90350000000004,36.94893491500669,0.0,54.0,16.97950072340331,30.0,30.0,0.0
r08_long_normal_smoke_20260703_214750,r08_long,middle_third,480.0,780.0,300,201.78227400174364,202.97997099987697,0.5851796607880977,201.22848263417836,202.7207539019097,0.8199661219641434,212.6926089506014,215.1687032484915,4.148944346769172,216.67120367288587,219.15003641683143,4.5988742806038685,59.0,61.0,0.9448269057495751,1936.0,1936.0,75.09811167274177,76.97,197.9560000000001,36.106877164571856,0.0,39.35000000000008,13.398447471585259,30.0,30.0,0.0
r08_long_normal_smoke_20260703_214750,r08_long,last_third,780.0,1080.0,300,203.199244751886,203.9290975080803,0.46769534223857095,201.31782178311067,203.5162670663946,1.279174474526304,208.8933973107487,214.1986298898701,3.3131222755332477,212.0296368232812,215.02006337541388,3.4150377629288164,59.0,60.0,0.6837743634826299,1936.0,1936.0,56.18331756667824,76.97,185.02350000000007,33.60970156886989,0.0,0.0,3.8739029086722603,30.0,30.0,0.0
r08_long_normal_smoke_20260703_214750,r08_long,first_120s,180.0,300.0,120,201.62831399647985,202.5255044864025,0.482285834394573,200.89746393447663,202.96788290686288,1.3110240135921392,212.19464796668035,213.9694057128509,3.9768388868469753,215.62069043779047,216.1774963806965,4.688190589191349,59.0,59.0,0.6284011101056974,1936.0,1936.0,57.85478537231117,76.86,202.772,40.36796169931922,0.0,0.0,1.834924188818569,30.0,30.0,0.0
r08_long_normal_smoke_20260703_214750,r08_long,after_120s,300.0,1080.0,780,202.3943555104779,203.89348399476148,1.0152391975987607,201.23693319959176,203.18327510224967,1.4107456856967455,209.98316638288085,215.3292926435824,4.408070500301723,213.40717890154335,219.3733610585332,4.765924792885885,59.0,61.049999999999955,0.9416993520206589,1936.0,1936.0,63.894446701403524,76.97,195.52450000000002,34.76745139066469,0.0,42.19999999999982,13.860376469551133,30.0,30.0,0.0
