client_role,req_id,target_url,client_ts_start,client_ts_end,e2e_latency_ms,status_code,success,server_latency_ms,server_total_latency_ms,server_time,server_pod_name,server_node_name,server_service_role,num_boxes,model,device,imgsz,filename,inter_request_gap_ms,loop_elapsed_ms,error_type,error_msg
measurement,measurement-1389,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:18.415328+00:00,2026-06-24T16:36:18.803719+00:00,388.327,200,1,360.943,372.929,2026-06-24T16:36:18.796,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.199,388.498,normal_success,
measurement,measurement-1390,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:18.803874+00:00,2026-06-24T16:36:19.179860+00:00,375.977,200,1,352.893,364.854,2026-06-24T16:36:19.172,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.053,376.639,normal_success,
measurement,measurement-1391,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:19.180695+00:00,2026-06-24T16:36:19.564628+00:00,383.863,200,1,356.724,368.699,2026-06-24T16:36:19.556,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.176,384.455,normal_success,
measurement,measurement-1392,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:19.565287+00:00,2026-06-24T16:36:19.947620+00:00,382.309,200,1,354.331,366.156,2026-06-24T16:36:19.939,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.137,382.974,normal_success,
measurement,measurement-1393,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:19.948397+00:00,2026-06-24T16:36:20.332604+00:00,384.185,200,1,357.55,369.582,2026-06-24T16:36:20.325,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.137,384.505,normal_success,
measurement,measurement-1394,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:20.333012+00:00,2026-06-24T16:36:20.716093+00:00,383.063,200,1,357.615,369.548,2026-06-24T16:36:20.707,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.114,383.511,normal_success,
measurement,measurement-1395,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:20.716655+00:00,2026-06-24T16:36:21.106476+00:00,389.805,200,1,358.164,370.057,2026-06-24T16:36:21.099,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.13,390.012,normal_success,
measurement,measurement-1396,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:21.106729+00:00,2026-06-24T16:36:21.485748+00:00,379.009,200,1,356.596,368.43,2026-06-24T16:36:21.479,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.066,379.124,normal_success,
measurement,measurement-1397,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:21.485889+00:00,2026-06-24T16:36:21.863701+00:00,377.808,200,1,356.073,367.973,2026-06-24T16:36:21.857,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.037,377.919,normal_success,
measurement,measurement-1398,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:21.863852+00:00,2026-06-24T16:36:22.247329+00:00,383.468,200,1,360.175,372.25,2026-06-24T16:36:22.239,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.045,383.839,normal_success,
measurement,measurement-1399,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:22.247828+00:00,2026-06-24T16:36:22.636120+00:00,388.275,200,1,360.586,372.503,2026-06-24T16:36:22.629,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.131,388.447,normal_success,
measurement,measurement-1400,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:22.636318+00:00,2026-06-24T16:36:23.018421+00:00,382.092,200,1,359.194,371.031,2026-06-24T16:36:23.011,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.047,382.367,normal_success,
measurement,measurement-1401,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:23.018858+00:00,2026-06-24T16:36:23.407445+00:00,388.571,200,1,361.582,373.424,2026-06-24T16:36:23.399,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.165,388.997,normal_success,
measurement,measurement-1402,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:23.408035+00:00,2026-06-24T16:36:23.789436+00:00,381.381,200,1,355.498,367.429,2026-06-24T16:36:23.782,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.183,381.641,normal_success,
measurement,measurement-1403,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:23.789727+00:00,2026-06-24T16:36:24.165985+00:00,376.252,200,1,354.233,366.135,2026-06-24T16:36:24.159,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.056,376.379,normal_success,
measurement,measurement-1404,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:24.166138+00:00,2026-06-24T16:36:24.541987+00:00,375.7,200,1,352.788,364.628,2026-06-24T16:36:24.534,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.032,376.253,normal_success,
measurement,measurement-1405,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:24.542528+00:00,2026-06-24T16:36:24.922232+00:00,379.679,200,1,353.158,365.032,2026-06-24T16:36:24.914,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.131,380.122,normal_success,
measurement,measurement-1406,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:24.922786+00:00,2026-06-24T16:36:25.305640+00:00,382.833,200,1,355.986,368.207,2026-06-24T16:36:25.298,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.137,383.315,normal_success,
measurement,measurement-1407,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:25.306239+00:00,2026-06-24T16:36:25.691038+00:00,384.778,200,1,358.435,370.323,2026-06-24T16:36:25.683,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.139,385.332,normal_success,
measurement,measurement-1408,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:25.691719+00:00,2026-06-24T16:36:26.074365+00:00,382.623,200,1,355.017,366.86,2026-06-24T16:36:26.065,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.146,383.133,normal_success,
measurement,measurement-1409,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:26.075037+00:00,2026-06-24T16:36:26.461584+00:00,386.524,200,1,356.906,368.824,2026-06-24T16:36:26.453,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.185,387.009,normal_success,
measurement,measurement-1410,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:26.462185+00:00,2026-06-24T16:36:26.849467+00:00,387.261,200,1,360.376,372.243,2026-06-24T16:36:26.842,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.14,387.663,normal_success,
measurement,measurement-1411,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:26.849997+00:00,2026-06-24T16:36:27.233236+00:00,383.222,200,1,358.809,370.661,2026-06-24T16:36:27.226,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.151,383.599,normal_success,
measurement,measurement-1412,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:27.233706+00:00,2026-06-24T16:36:27.613049+00:00,379.327,200,1,353.983,366.21,2026-06-24T16:36:27.606,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.111,379.629,normal_success,
measurement,measurement-1413,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:27.613420+00:00,2026-06-24T16:36:27.996429+00:00,382.996,200,1,357.952,370.306,2026-06-24T16:36:27.988,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.085,383.406,normal_success,
measurement,measurement-1414,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:27.996998+00:00,2026-06-24T16:36:28.376990+00:00,379.967,200,1,351.789,363.886,2026-06-24T16:36:28.369,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.167,380.396,normal_success,
measurement,measurement-1415,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:28.377521+00:00,2026-06-24T16:36:28.761245+00:00,383.703,200,1,357.503,369.492,2026-06-24T16:36:28.753,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.129,384.115,normal_success,
measurement,measurement-1416,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:28.761764+00:00,2026-06-24T16:36:29.143276+00:00,381.495,200,1,355.889,367.775,2026-06-24T16:36:29.136,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.127,381.624,normal_success,
measurement,measurement-1417,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:29.143421+00:00,2026-06-24T16:36:29.537773+00:00,394.347,200,1,368.613,383.026,2026-06-24T16:36:29.531,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.04,394.508,normal_success,
measurement,measurement-1418,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:29.537980+00:00,2026-06-24T16:36:29.924061+00:00,386.074,200,1,363.787,375.613,2026-06-24T16:36:29.917,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.05,386.241,normal_success,
measurement,measurement-1419,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:29.924277+00:00,2026-06-24T16:36:30.306985+00:00,382.699,200,1,359.761,372.057,2026-06-24T16:36:30.300,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.055,382.887,normal_success,
measurement,measurement-1420,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:30.307212+00:00,2026-06-24T16:36:30.692734+00:00,385.512,200,1,362.185,374.098,2026-06-24T16:36:30.684,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.048,385.846,normal_success,
measurement,measurement-1421,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:30.693156+00:00,2026-06-24T16:36:31.078963+00:00,385.794,200,1,356.047,370.16,2026-06-24T16:36:31.072,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.095,385.927,normal_success,
measurement,measurement-1422,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:31.079120+00:00,2026-06-24T16:36:31.463713+00:00,384.588,200,1,361.544,373.571,2026-06-24T16:36:31.457,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.041,384.702,normal_success,
measurement,measurement-1423,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:31.463858+00:00,2026-06-24T16:36:31.837043+00:00,373.179,200,1,351.447,363.352,2026-06-24T16:36:31.830,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.037,373.288,normal_success,
measurement,measurement-1424,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:31.837186+00:00,2026-06-24T16:36:32.216105+00:00,378.912,200,1,356.754,368.782,2026-06-24T16:36:32.209,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.039,379.16,normal_success,
measurement,measurement-1425,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:32.216444+00:00,2026-06-24T16:36:32.600097+00:00,383.638,200,1,359.136,371.072,2026-06-24T16:36:32.592,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.096,384.042,normal_success,
measurement,measurement-1426,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:32.600619+00:00,2026-06-24T16:36:32.987438+00:00,386.797,200,1,360.551,372.442,2026-06-24T16:36:32.979,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.13,387.415,normal_success,
measurement,measurement-1427,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:32.988177+00:00,2026-06-24T16:36:33.369229+00:00,381.028,200,1,354.463,366.65,2026-06-24T16:36:33.361,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.141,381.451,normal_success,
measurement,measurement-1428,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:33.369758+00:00,2026-06-24T16:36:33.754773+00:00,384.994,200,1,358.434,370.433,2026-06-24T16:36:33.747,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.132,385.454,normal_success,
measurement,measurement-1429,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:33.755352+00:00,2026-06-24T16:36:34.136652+00:00,381.28,200,1,355.42,367.329,2026-06-24T16:36:34.129,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.139,381.626,normal_success,
measurement,measurement-1430,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:34.137077+00:00,2026-06-24T16:36:34.525777+00:00,388.683,200,1,363.81,376.105,2026-06-24T16:36:34.518,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.102,389.129,normal_success,
measurement,measurement-1431,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:34.526339+00:00,2026-06-24T16:36:34.906080+00:00,379.72,200,1,353.78,365.625,2026-06-24T16:36:34.898,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.131,380.157,normal_success,
measurement,measurement-1432,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:34.906634+00:00,2026-06-24T16:36:35.296163+00:00,389.509,200,1,363.106,375.22,2026-06-24T16:36:35.288,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.138,389.915,normal_success,
measurement,measurement-1433,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:35.296676+00:00,2026-06-24T16:36:35.672148+00:00,375.451,200,1,349.267,361.16,2026-06-24T16:36:35.664,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.127,375.878,normal_success,
measurement,measurement-1434,http://10.42.1.31:18080/infer?repeat=10,2026-06-24T16:36:35.672686+00:00,2026-06-24T16:36:36.056575+00:00,383.871,200,1,358.204,370.107,2026-06-24T16:36:36.049,yolo26n-focus-d67856478-2b8lw,unknown,focus,18,yolo26m.pt,cuda:0,640,sanity_input.png,0.131,384.111,normal_success,
