timestamp,phase,node,ready,healthz_ok,compute_ok,metrics_ok,healthz_ms,compute_ms,health_failure_streak,compute_failure_streak,sample_reason,anomaly_reason,is_transient_anomaly,state,downtime_reason
2026-07-07T15:12:49+00:00,unknown,icclz1,1,1,1,1,10.030,17.615,0,0,,,0,UP,
2026-07-07T15:12:54+00:00,BASELINE,icclz1,1,1,1,1,13.218,11.441,0,0,,,0,UP,
2026-07-07T15:12:59+00:00,BASELINE,icclz1,1,1,1,1,82.504,22.883,0,0,,,0,UP,
2026-07-07T15:13:05+00:00,BASELINE,icclz1,1,1,1,1,10.450,18.489,0,0,,,0,UP,
2026-07-07T15:13:10+00:00,BASELINE,icclz1,1,1,1,1,15.805,11.357,0,0,,,0,UP,
2026-07-07T15:13:15+00:00,BASELINE,icclz1,1,1,1,1,33.939,10.521,0,0,,,0,UP,
2026-07-07T15:13:20+00:00,BASELINE,icclz1,1,1,1,1,30.904,61.106,0,0,,,0,UP,
2026-07-07T15:13:26+00:00,BASELINE,icclz1,1,1,1,1,69.987,10.230,0,0,,,0,UP,
2026-07-07T15:13:31+00:00,BASELINE,icclz1,1,1,1,1,18.434,11.859,0,0,,,0,UP,
2026-07-07T15:13:36+00:00,BASELINE,icclz1,1,1,1,1,13.072,12.646,0,0,,,0,UP,
2026-07-07T15:13:41+00:00,BASELINE,icclz1,1,1,1,1,61.614,21.861,0,0,,,0,UP,
2026-07-07T15:13:47+00:00,BASELINE,icclz1,1,1,1,1,9.868,23.647,0,0,,,0,UP,
2026-07-07T15:13:52+00:00,BASELINE,icclz1,1,1,1,1,135.726,42.477,0,0,,,0,UP,
2026-07-07T15:13:58+00:00,BASELINE,icclz1,1,1,1,1,140.232,12.178,0,0,,,0,UP,
2026-07-07T15:14:03+00:00,BASELINE,icclz1,1,1,1,1,16.469,22.084,0,0,,,0,UP,
2026-07-07T15:14:08+00:00,BASELINE,icclz1,1,1,1,1,73.304,31.911,0,0,,,0,UP,
2026-07-07T15:14:14+00:00,BASELINE,icclz1,1,1,1,1,14.462,21.001,0,0,,,0,UP,
2026-07-07T15:14:19+00:00,BASELINE,icclz1,1,1,1,1,33.496,20.343,0,0,,,0,UP,
2026-07-07T15:14:25+00:00,BASELINE,icclz1,1,1,1,1,13.200,9.233,0,0,,,0,UP,
2026-07-07T15:14:30+00:00,BASELINE,icclz1,1,1,1,1,9.261,8.895,0,0,,,0,UP,
2026-07-07T15:14:35+00:00,BASELINE,icclz1,1,1,1,1,17.534,14.259,0,0,,,0,UP,
2026-07-07T15:14:40+00:00,BASELINE,icclz1,1,1,1,1,25.672,10.647,0,0,,,0,UP,
2026-07-07T15:14:46+00:00,BASELINE,icclz1,1,1,1,1,22.074,47.593,0,0,,,0,UP,
2026-07-07T15:14:51+00:00,BASELINE,icclz1,1,1,1,1,11.311,10.170,0,0,,,0,UP,
