timestamp,phase,node,ready,healthz_ok,compute_ok,metrics_ok,healthz_ms,compute_ms,state,downtime_reason
2026-07-07T05:11:00+00:00,BASELINE,icclz1,1,1,1,1,267.923,235.475,UP,
2026-07-07T05:11:06+00:00,BASELINE,icclz1,1,1,1,1,58.942,83.231,UP,
2026-07-07T05:11:11+00:00,BASELINE,icclz1,1,1,1,1,31.745,50.571,UP,
2026-07-07T05:11:17+00:00,BASELINE,icclz1,1,1,1,1,6.818,145.569,UP,
2026-07-07T05:11:23+00:00,BASELINE,icclz1,1,1,1,1,40.496,189.120,UP,
2026-07-07T05:11:28+00:00,BASELINE,icclz1,1,1,1,1,271.652,349.738,UP,
2026-07-07T05:11:35+00:00,MEM-M,icclz1,1,1,1,1,137.946,168.233,UP,
2026-07-07T05:11:40+00:00,MEM-M,icclz1,1,1,1,1,203.346,224.982,UP,
2026-07-07T05:11:47+00:00,MEM-M,icclz1,1,1,1,1,101.647,165.600,UP,
2026-07-07T05:11:53+00:00,MEM-M,icclz1,1,1,1,1,137.856,403.845,UP,
2026-07-07T05:11:58+00:00,MEM-M,icclz1,1,1,1,1,207.157,362.395,UP,
2026-07-07T05:12:05+00:00,MEM-M,icclz1,1,1,1,1,8.839,58.536,UP,
2026-07-07T05:12:10+00:00,MEM-M,icclz1,1,1,1,1,18.965,139.091,UP,
2026-07-07T05:12:16+00:00,MEM-M,icclz1,1,1,1,1,39.926,153.546,UP,
2026-07-07T05:12:21+00:00,MEM-M,icclz1,1,1,1,1,6.886,93.015,UP,
2026-07-07T05:12:26+00:00,MEM-M,icclz1,1,1,1,1,41.996,87.786,UP,
2026-07-07T05:12:32+00:00,RECOVERY-1,icclz1,1,1,1,1,290.517,121.263,UP,
2026-07-07T05:12:37+00:00,RECOVERY-1,icclz1,1,1,1,1,39.369,50.897,UP,
2026-07-07T05:12:43+00:00,RECOVERY-1,icclz1,1,1,1,1,528.434,198.591,UP,
2026-07-07T05:12:49+00:00,RECOVERY-1,icclz1,1,1,1,1,11.521,48.503,UP,
2026-07-07T05:12:55+00:00,RECOVERY-1,icclz1,1,1,1,1,50.621,127.760,UP,
2026-07-07T05:13:00+00:00,RECOVERY-1,icclz1,1,1,1,1,60.791,89.294,UP,
2026-07-07T05:13:06+00:00,COMPLETE,icclz1,1,1,1,1,28.895,188.293,UP,
