timestamp,phase,node,ready,healthz_ok,compute_ok,metrics_ok,healthz_ms,compute_ms,health_failure_streak,compute_failure_streak,sample_reason,anomaly_reason,is_transient_anomaly,state,downtime_reason
2026-07-08T02:44:42+00:00,unknown,icclz1,1,1,1,1,129.682,158.246,0,0,,,0,UP,
2026-07-08T02:44:49+00:00,BASELINE,icclz1,1,1,1,1,23.410,28.329,0,0,,,0,UP,
2026-07-08T02:44:54+00:00,BASELINE,icclz1,1,1,1,1,384.583,31.549,0,0,,,0,UP,
2026-07-08T02:45:00+00:00,BASELINE,icclz1,1,1,1,1,8.728,6.876,0,0,,,0,UP,
2026-07-08T02:45:05+00:00,BASELINE,icclz1,1,1,1,1,13.478,8.470,0,0,,,0,UP,
2026-07-08T02:45:10+00:00,BASELINE,icclz1,1,1,1,1,455.092,21.568,0,0,,,0,UP,
2026-07-08T02:45:16+00:00,BASELINE,icclz1,1,1,1,1,337.307,24.182,0,0,,,0,UP,
2026-07-08T02:45:21+00:00,BASELINE,icclz1,1,1,1,1,40.068,20.113,0,0,,,0,UP,
2026-07-08T02:45:27+00:00,BASELINE,icclz1,1,1,1,1,127.582,95.416,0,0,,,0,UP,
2026-07-08T02:45:32+00:00,BASELINE,icclz1,1,1,1,1,101.896,14.858,0,0,,,0,UP,
2026-07-08T02:45:38+00:00,BASELINE,icclz1,1,1,1,1,8.834,51.967,0,0,,,0,UP,
2026-07-08T02:45:43+00:00,BASELINE,icclz1,1,1,1,1,113.926,14.220,0,0,,,0,UP,
2026-07-08T02:45:48+00:00,BASELINE,icclz1,1,1,1,1,42.440,9.974,0,0,,,0,UP,
2026-07-08T02:45:54+00:00,BASELINE,icclz1,1,1,1,1,11.878,19.093,0,0,,,0,UP,
2026-07-08T02:45:59+00:00,BASELINE,icclz1,1,1,1,1,88.784,22.901,0,0,,,0,UP,
2026-07-08T02:46:04+00:00,BASELINE,icclz1,1,1,1,1,8.793,10.593,0,0,,,0,UP,
2026-07-08T02:46:10+00:00,BASELINE,icclz1,1,1,1,1,8.451,29.616,0,0,,,0,UP,
2026-07-08T02:46:15+00:00,BASELINE,icclz1,1,1,1,1,19.748,10.547,0,0,,,0,UP,
2026-07-08T02:46:20+00:00,BASELINE,icclz1,1,1,1,1,17.719,18.949,0,0,,,0,UP,
2026-07-08T02:46:26+00:00,BASELINE,icclz1,1,1,1,1,342.158,10.705,0,0,,,0,UP,
2026-07-08T02:46:31+00:00,BASELINE,icclz1,1,1,1,1,88.058,37.224,0,0,,,0,UP,
2026-07-08T02:46:37+00:00,BASELINE,icclz1,1,1,1,1,553.393,6.890,0,0,,,0,UP,
2026-07-08T02:46:43+00:00,BASELINE,icclz1,1,1,1,1,132.148,16.215,0,0,,,0,UP,
2026-07-08T02:46:48+00:00,BASELINE,icclz1,1,1,1,1,20.841,12.344,0,0,,,0,UP,
2026-07-08T02:46:54+00:00,BASELINE,icclz1,1,1,1,1,10.290,7.207,0,0,,,0,UP,
2026-07-08T02:46:59+00:00,BASELINE,icclz1,1,1,1,1,17.430,19.855,0,0,,,0,UP,
2026-07-08T02:47:04+00:00,BASELINE,icclz1,1,1,1,1,13.570,9.539,0,0,,,0,UP,
2026-07-08T02:47:10+00:00,BASELINE,icclz1,1,1,1,1,19.711,22.177,0,0,,,0,UP,
2026-07-08T02:47:15+00:00,BASELINE,icclz1,1,1,1,1,30.740,40.958,0,0,,,0,UP,
2026-07-08T02:47:20+00:00,BASELINE,icclz1,1,1,1,1,8.882,20.605,0,0,,,0,UP,
2026-07-08T02:47:25+00:00,BASELINE,icclz1,1,1,1,1,385.997,19.614,0,0,,,0,UP,
2026-07-08T02:47:31+00:00,BASELINE,icclz1,1,1,1,1,20.093,22.455,0,0,,,0,UP,
2026-07-08T02:47:36+00:00,BASELINE,icclz1,1,1,1,1,9.926,15.920,0,0,,,0,UP,
2026-07-08T02:47:41+00:00,BASELINE,icclz1,1,1,1,1,134.390,9.337,0,0,,,0,UP,
2026-07-08T02:47:47+00:00,BASELINE,icclz1,1,1,1,1,8.269,9.033,0,0,,,0,UP,
2026-07-08T02:47:52+00:00,BASELINE,icclz1,1,1,1,1,355.967,10.888,0,0,,,0,UP,
2026-07-08T02:47:58+00:00,BASELINE,icclz1,1,1,1,1,52.236,43.438,0,0,,,0,UP,
2026-07-08T02:48:03+00:00,BASELINE,icclz1,1,1,1,1,18.971,12.237,0,0,,,0,UP,
2026-07-08T02:48:08+00:00,BASELINE,icclz1,1,1,1,1,38.314,16.503,0,0,,,0,UP,
2026-07-08T02:48:14+00:00,BASELINE,icclz1,1,1,1,1,48.794,9.806,0,0,,,0,UP,
2026-07-08T02:48:20+00:00,BASELINE,icclz1,1,1,1,1,20.700,19.332,0,0,,,0,UP,
2026-07-08T02:48:25+00:00,BASELINE,icclz1,1,1,1,1,10.682,9.213,0,0,,,0,UP,
2026-07-08T02:48:30+00:00,BASELINE,icclz1,1,1,1,1,34.555,26.468,0,0,,,0,UP,
2026-07-08T02:48:35+00:00,BASELINE,icclz1,1,1,1,1,41.709,74.110,0,0,,,0,UP,
2026-07-08T02:48:41+00:00,BASELINE,icclz1,1,1,1,1,29.380,11.523,0,0,,,0,UP,
2026-07-08T02:48:46+00:00,BASELINE,icclz1,1,1,1,1,229.519,13.798,0,0,,,0,UP,
2026-07-08T02:48:52+00:00,BASELINE,icclz1,1,1,1,1,24.506,9.113,0,0,,,0,UP,
2026-07-08T02:48:57+00:00,BASELINE,icclz1,1,1,1,1,91.688,72.164,0,0,,,0,UP,
2026-07-08T02:49:04+00:00,BASELINE,icclz1,1,1,1,1,373.536,21.436,0,0,,,0,UP,
2026-07-08T02:49:09+00:00,BASELINE,icclz1,1,1,1,1,16.233,22.225,0,0,,,0,UP,
2026-07-08T02:49:15+00:00,BASELINE,icclz1,1,1,1,1,45.810,34.970,0,0,,,0,UP,
2026-07-08T02:49:20+00:00,BASELINE,icclz1,1,1,1,1,13.756,9.624,0,0,,,0,UP,
2026-07-08T02:49:25+00:00,BASELINE,icclz1,1,1,1,1,19.537,26.570,0,0,,,0,UP,
2026-07-08T02:49:30+00:00,BASELINE,icclz1,1,1,1,1,7.614,8.398,0,0,,,0,UP,
2026-07-08T02:49:36+00:00,BASELINE,icclz1,1,1,1,1,451.231,1588.501,0,0,compute_latency_high,compute_latency_high,0,DEGRADED,compute_latency_high
2026-07-08T02:49:43+00:00,BASELINE,icclz1,1,1,1,1,17.182,55.047,0,0,,,0,UP,
2026-07-08T02:49:48+00:00,BASELINE,icclz1,1,1,1,1,25.186,29.438,0,0,,,0,UP,
2026-07-08T02:49:54+00:00,BASELINE,icclz1,1,1,1,1,18.977,19.856,0,0,,,0,UP,
2026-07-08T02:49:59+00:00,BASELINE,icclz1,1,1,1,1,147.293,9.150,0,0,,,0,UP,
2026-07-08T02:50:04+00:00,BASELINE,icclz1,1,1,1,1,47.298,17.382,0,0,,,0,UP,
2026-07-08T02:50:10+00:00,BASELINE,icclz1,1,1,1,1,94.877,26.817,0,0,,,0,UP,
2026-07-08T02:50:15+00:00,BASELINE,icclz1,1,1,1,1,27.532,9.315,0,0,,,0,UP,
2026-07-08T02:50:20+00:00,BASELINE,icclz1,1,1,1,1,10.485,8.121,0,0,,,0,UP,
2026-07-08T02:50:25+00:00,BASELINE,icclz1,1,1,1,1,42.146,89.873,0,0,,,0,UP,
2026-07-08T02:50:31+00:00,BASELINE,icclz1,1,1,1,1,18.808,9.680,0,0,,,0,UP,
2026-07-08T02:50:36+00:00,BASELINE,icclz1,1,1,1,1,16.574,7.542,0,0,,,0,UP,
2026-07-08T02:50:41+00:00,BASELINE,icclz1,1,1,1,1,9.866,9.112,0,0,,,0,UP,
2026-07-08T02:50:47+00:00,BASELINE,icclz1,1,1,1,1,19.339,9.709,0,0,,,0,UP,
2026-07-08T02:50:52+00:00,BASELINE,icclz1,1,1,1,1,22.610,10.548,0,0,,,0,UP,
2026-07-08T02:50:57+00:00,BASELINE,icclz1,1,1,1,1,534.675,44.247,0,0,,,0,UP,
2026-07-08T02:51:03+00:00,BASELINE,icclz1,1,1,1,1,20.142,14.771,0,0,,,0,UP,
2026-07-08T02:51:09+00:00,BASELINE,icclz1,1,1,1,1,28.006,28.321,0,0,,,0,UP,
2026-07-08T02:51:14+00:00,BASELINE,icclz1,1,1,1,1,31.826,7.671,0,0,,,0,UP,
2026-07-08T02:51:19+00:00,BASELINE,icclz1,1,1,1,1,35.009,16.749,0,0,,,0,UP,
2026-07-08T02:51:24+00:00,BASELINE,icclz1,1,1,1,1,553.374,51.404,0,0,,,0,UP,
2026-07-08T02:51:30+00:00,BASELINE,icclz1,1,1,1,1,7.838,18.866,0,0,,,0,UP,
2026-07-08T02:51:36+00:00,BASELINE,icclz1,1,1,1,1,821.135,40.226,0,0,,,0,UP,
2026-07-08T02:51:42+00:00,BASELINE,icclz1,1,1,1,1,664.388,24.634,0,0,,,0,UP,
2026-07-08T02:51:48+00:00,BASELINE,icclz1,1,1,1,1,13.999,15.460,0,0,,,0,UP,
2026-07-08T02:51:53+00:00,BASELINE,icclz1,1,1,1,1,73.509,13.282,0,0,,,0,UP,
2026-07-08T02:51:58+00:00,BASELINE,icclz1,1,1,1,1,99.800,9.015,0,0,,,0,UP,
2026-07-08T02:52:04+00:00,BASELINE,icclz1,1,1,1,1,262.297,42.684,0,0,,,0,UP,
2026-07-08T02:52:09+00:00,BASELINE,icclz1,1,1,1,1,22.973,9.115,0,0,,,0,UP,
2026-07-08T02:52:15+00:00,BASELINE,icclz1,1,1,1,1,473.922,32.498,0,0,,,0,UP,
2026-07-08T02:52:21+00:00,BASELINE,icclz1,1,1,1,1,14.632,9.951,0,0,,,0,UP,
2026-07-08T02:52:26+00:00,BASELINE,icclz1,1,1,1,1,221.625,14.688,0,0,,,0,UP,
2026-07-08T02:52:32+00:00,BASELINE,icclz1,1,1,1,1,49.474,12.364,0,0,,,0,UP,
2026-07-08T02:52:37+00:00,BASELINE,icclz1,1,1,1,1,13.550,8.640,0,0,,,0,UP,
2026-07-08T02:52:43+00:00,BASELINE,icclz1,1,1,1,1,7.432,13.743,0,0,,,0,UP,
2026-07-08T02:52:48+00:00,BASELINE,icclz1,1,1,1,1,10.901,13.514,0,0,,,0,UP,
2026-07-08T02:52:53+00:00,BASELINE,icclz1,1,1,1,1,13.440,6.931,0,0,,,0,UP,
2026-07-08T02:52:58+00:00,BASELINE,icclz1,1,1,1,1,29.764,21.949,0,0,,,0,UP,
2026-07-08T02:53:04+00:00,BASELINE,icclz1,1,1,1,1,21.746,7.904,0,0,,,0,UP,
2026-07-08T02:53:09+00:00,BASELINE,icclz1,1,1,1,1,71.732,8.301,0,0,,,0,UP,
2026-07-08T02:53:14+00:00,BASELINE,icclz1,1,1,1,1,42.350,14.589,0,0,,,0,UP,
2026-07-08T02:53:20+00:00,BASELINE,icclz1,1,1,1,1,27.681,27.888,0,0,,,0,UP,
2026-07-08T02:53:25+00:00,BASELINE,icclz1,1,1,1,1,8.800,19.067,0,0,,,0,UP,
