timestamp,phase,node,ready,healthz_ok,compute_ok,metrics_ok,healthz_ms,compute_ms,state,downtime_reason
2026-07-07T05:04:32+00:00,BASELINE,icclz1,1,1,1,1,66.347,95.821,UP,
2026-07-07T05:04:38+00:00,BASELINE,icclz1,1,1,1,1,26.632,107.936,UP,
2026-07-07T05:04:43+00:00,BASELINE,icclz1,1,1,1,1,128.905,163.635,UP,
2026-07-07T05:04:49+00:00,BASELINE,icclz1,1,1,1,1,43.021,152.381,UP,
2026-07-07T05:04:55+00:00,BASELINE,icclz1,1,1,1,1,34.300,89.720,UP,
2026-07-07T05:05:00+00:00,CPU-M,icclz1,1,1,1,1,399.456,440.396,UP,
2026-07-07T05:05:07+00:00,CPU-M,icclz1,1,1,1,1,8.494,84.133,UP,
2026-07-07T05:05:12+00:00,CPU-M,icclz1,1,1,1,1,17.667,334.232,UP,
2026-07-07T05:05:18+00:00,CPU-M,icclz1,1,1,1,1,91.091,319.825,UP,
2026-07-07T05:05:24+00:00,CPU-M,icclz1,1,1,1,1,8.013,89.386,UP,
2026-07-07T05:05:30+00:00,CPU-M,icclz1,1,1,1,1,478.075,299.022,UP,
2026-07-07T05:05:36+00:00,CPU-M,icclz1,1,1,1,1,29.562,32.763,UP,
2026-07-07T05:05:41+00:00,CPU-M,icclz1,1,1,1,1,103.301,440.834,UP,
2026-07-07T05:05:48+00:00,CPU-M,icclz1,1,1,1,1,63.188,200.409,UP,
2026-07-07T05:05:54+00:00,CPU-M,icclz1,1,1,1,1,84.726,123.181,UP,
2026-07-07T05:05:59+00:00,CPU-M,icclz1,1,1,1,1,343.641,150.418,UP,
2026-07-07T05:06:06+00:00,RECOVERY-1,icclz1,1,1,1,1,90.582,66.992,UP,
2026-07-07T05:06:11+00:00,RECOVERY-1,icclz1,1,1,1,1,33.447,115.488,UP,
2026-07-07T05:06:18+00:00,RECOVERY-1,icclz1,1,1,1,1,139.523,128.233,UP,
2026-07-07T05:06:23+00:00,RECOVERY-1,icclz1,1,1,1,1,79.265,151.292,UP,
2026-07-07T05:06:29+00:00,RECOVERY-1,icclz1,1,1,1,1,55.091,167.800,UP,
2026-07-07T05:06:35+00:00,COMPLETE,icclz1,1,1,1,1,139.865,600.382,UP,
2026-07-07T05:06:40+00:00,COMPLETE,icclz1,1,1,1,1,134.254,597.712,UP,
2026-07-07T05:06:48+00:00,COMPLETE,icclz1,1,1,1,1,302.464,363.135,UP,
2026-07-07T05:06:53+00:00,COMPLETE,icclz1,1,1,1,1,9.277,260.847,UP,
2026-07-07T05:06:59+00:00,COMPLETE,icclz1,1,1,1,1,38.202,410.578,UP,
2026-07-07T05:07:06+00:00,COMPLETE,icclz1,1,1,1,1,171.022,318.161,UP,
2026-07-07T05:07:12+00:00,COMPLETE,icclz1,1,1,1,1,158.214,231.275,UP,
